code: stationname quality area wgs
1012: JVP1012 3.0 501632 60112032500568
1013: JVP1013 3.0 649289 60100132457398
1014: JVP1014 3.0 2135028 60103372457349
1015: JVP1015 1.0 750876 60104182457254
1016: JVP1016 3.0 336352 60094552457223
1017: JVP1017 3.0 149033 60110262458205
1018: JVP1018 3.0 304437 60105052456534
1019: JVP1019 3.0 641598 60111602500021
1020: JVP1020 1.0 25392761 60171362500428
1021: JVP1021 1.0 2984337 60155512458393
1022: JVP1022 3.0 1455071 60152482456212
1023: JVP1023 1.0 9773768 60150482458415
1025: JVP1025 3.0 1115988 60152892505016
1026: JVP1026 3.0 4407238 60160072502124
1027: JVP1027 3.0 1782584 60152092501166
1028: JVP1028 0.0 3068712 60145822501463
1031: JVP1031 3.0 1904235 60164682459567
1036: JVP1036 1.0 109799 60140922507435
1037: JVP1037 1.0 212919 60150572450530
1038: JVP1038 3.0 1293240 60123512507224
1040: JVP1040 1.0 1198296 60110302500578
1042: JVP1042 1.0 338524 60105332458314
1043: JVP1043 3.0 655926 60121692505407
1045: JVP1045 3.0 1751279 60113092503362
1046: JVP1046 3.0 674042 60102462501151
1047: JVP1047 3.0 121218 60154682457018
1050: JVP1050 3.0 776120 60110012451211
1051: JVP1051 3.0 343451 60111612452052
1052: JVP1052 3.0 564044 60114602453058
1053: JVP1053 3.0 424802 60115202452010
1054: JVP1054 1.0 347680 60150022454160
1056: JVP1056 3.0 80084 60103082501113
1057: JVP1057 1.0 435611 60112742452595
1058: JVP1058 3.0 245048 60142452459011
1059: JVP1059 3.0 157252 60100572451332
1060: JVP1060 3.0 780146 60094362451221
1061: JVP1061 3.0 1125152 60092782452256
1062: JVP1062 3.0 73161 60085962452354
1063: JVP1063 3.0 229829 60094292453371
1064: JVP1064 3.0 665627 60134532507570
1065: JVP1065 1.0 5180725 60100822503130
1066: JVP1066 3.0 291365 60110092502548
1067: JVP1067 1.0 214207 60142052459323
1068: JVP1068 3.0 500343 60141542502467
1069: JVP1069 2.0 13161971 60110592455415
1072: JVP1072 1.0 98904 60103132458483
1073: JVP1073 3.0 380925 60103582459104
1074: JVP1074 3.0 548396 60105682459269
1075: JVP1075 3.0 229360 60112622458503
1076: JVP1076 1.0 1011650 60114092506430
1077: JVP1077 1.0 357273 60114552507157
1078: JVP1078 1.0 294804 60115862507526
1079: JVP1079 1.0 3178640 60112902508098
1080: JVP1080 1.0 399306 60114252506225
1081: JVP1081 1.0 439971 60102032451406
1082: JVP1082 3.0 151322 60094782451032
1083: JVP1083 3.0 2118912 60094312502542
1088: JVP1088 3.0 204918 60085542458287
1090: JVP1090 3.0 181214 60084202458489
1091: JVP1091 3.0 237324 60082852459116
1092: JVP1092 3.0 556719 60135852504100
1093: JVP1093 1.0 229023 60091302455073
1096: JVP1096 1.0 42214 60165522502247
1100: JVP1100 3.0 953809 60162232504389
1102: JVP1102 3.0 242695 60142032501083
1105: JVP1105 1.0 399329 60131122459273
1108: JVP1108 3.0 1146242 60094702504227
1114: JVP1114 3.0 80557 60085222458571
1115: JVP1115 1.0 312313 60095752504539
1116: JVP1116 1.0 183118 60125052505060
1117: JVP1117 3.0 81416 60084662459128
1119: JVP1119 3.0 164435 60084482459316
1120: JVP1120 3.0 89956 60085732458446
1122: JVP1122 1.0 239285 60101552504326
1123: JVP1123 3.0 118090 60102212458573
1125: JVP1125 3.0 182433 60154482503167
1126: JVP1126 3.0 281675 60153732503007
1127: JVP1127 3.0 158745 60094562455027
1131: JVP1131 3.0 36120 60153922503368
1134: JVP1134 1.0 232290 60114632506422
1135: JVP1135 3.0 478854 60140732503347
1136: JVP1136 1.0 50469 60093972455028
1137: JVP1137 1.0 1713513 60091412453193
1138: JVP1138 3.0 638351 60115992508368
1140: JVP1140 3.0 191603 60101122505058
1142: JVP1142 3.0 220961 60133192459538
1145: JVP1145 3.0 114118 60152102503254
1146: JVP1146 3.0 51780 60151242503227
1148: JVP1148 1.0 6450048 60125742509216
1149: JVP1149 3.0 627509 60110892502073
1150: JVP1150 3.0 150069 60151002503369
1151: JVP1151 3.0 284295 60093792454425
1153: JVP1153 3.0 218929 60152662503429
1154: JVP1154 3.0 238397 60102062504520
1156: JVP1156 3.0 79651 60135622458538
1157: JVP1157 3.0 524489 60134882501593
1158: JVP1158 3.0 493750 60132992501386
1160: JVP1160 3.0 316731 60112152501337
1161: JVP1161 3.0 267028 60094062454293
1162: JVP1162 1.0 198943 60154752502108
1163: JVP1163 3.0 344231 60123582509471
1164: JVP1164 1.0 1104368 60133222500296
1165: JVP1165 1.0 1510546 60120772509124
1166: JVP1166 1.0 523298 60113012500587
1167: JVP1167 3.0 552263 60093922505380
1168: JVP1168 3.0 393374 60092622504536
1169: JVP1169 2.0 456070 60134332502233
1170: JVP1170 3.0 172583 60095362454046
1171: JVP1171 2.0 8695139 60124252510208
1172: JVP1172 2.0 41233 60121942454532
1173: JVP1173 3.0 2617731 None
1174: JVP1174 3.0 450272 None
1175: JVP1175 1.0 223896 60093702455187
1176: JVP1176 2.0 254406 60090192442421
1177: JVP1177 2.0 118613 60151072501350
1178: JVP1178 3.0 75991 60135642456286
1179: JVP1179 1.0 44488 60140852456403
1180: JVP1180 1.0 1189224 60095982505200
1181: JVP1181 1.0 20996 60155212457266
1185: JVP1185 1.0 113375 60094892451174
1186: JVP1186 3.0 85487 60093222452374
2001: JVP2001 1.0 98555 60092282441503
2002: JVP2002 1.0 97382 60085342444239
2003: JVP2003 2.0 2374095 60093012444597
2004: JVP2004 1.0 182883 60092092445462
2005: JVP2005 1.0 344006 60085202445093
2006: JVP2006 1.0 449454 60093762446218
2007: JVP2007 2.0 116858 60093082447411
2008: JVP2008 2.0 474223 60094732448073
2009: JVP2009 2.0 99794 60100112447230
2010: JVP2010 2.0 2942733 60093072442600
2011: JVP2011 2.0 2034943 60100772445143
2012: JVP2012 3.0 600715 60100992447322
2013: JVP2013 2.0 507750 60103302448517
2014: JVP2014 2.0 103989 60104272449231
2015: JVP2015 3.0 196760 60105292450011
2016: JVP2016 2.0 864154 60111072449187
2017: JVP2017 3.0 3488410 60110352448202
2019: JVP2019 1.0 9696 60122162447333
2020: JVP2020 1.0 44870 60122842448178
2021: JVP2021 2.0 86614 60121362447182
2022: JVP2022 3.0 3277 60123322448309
2023: JVP2023 1.0 53416 60102692439432
2024: JVP2024 2.0 6936744 60104122445109
2025: JVP2025 3.0 1107783 60105792445557
2026: JVP2026 1.0 84359 60112532445230
2027: JVP2027 2.0 237315 60112542446343
2028: JVP2028 1.0 257142 60115942446197
2029: JVP2029 2.0 5695124 60133162447005
2030: JVP2030 2.0 4169606 60125832449378
2030: JVP2030 2.0 89490 60125832449378
2031: JVP2031 1.0 578965 60130482450052
2032: JVP2032 1.0 347773 60141962449505
2033: JVP2033 2.0 3446381 60164722444158
2034: JVP2034 2.0 965017 60094102441452
2035: JVP2035 1.0 672276 60095192442487
2036: JVP2036 2.0 1892441 60133112443457
2038: JVP2038 2.0 5831879 60141362443089
2039: JVP2039 2.0 10747 60133982446056
2040: JVP2040 1.0 802071 60121372438234
2041: JVP2041 1.0 14343 60133032448048
2042: JVP2042 1.0 93847 60145592445142
2043: JVP2043 1.0 193425 60150852445269
2044: JVP2044 2.0 87863 60150722446091
2045: JVP2045 1.0 5661 60090352438041
2046: JVP2046 1.0 584586 60135812442064
2048: JVP2048 3.0 147199 60084992440374
2049: JVP2049 2.0 371288 60080562439445
2050: JVP2050 1.0 48584 60121532438388
2051: JVP2051 1.0 781245 60095952437497
2052: JVP2052 3.0 1407512 60090102443195
2053: JVP2053 2.0 872910 60103522439383
2054: JVP2054 1.0 79601 60102222446331
2055: JVP2055 2.0 594955 60121282439365
2056: JVP2056 2.0 368955 60102562449449
2057: JVP2057 3.0 290529 60134432443061
2058: JVP2058 1.0 226478 60093982440489
2059: JVP2059 2.0 2307564 60111032435454
2060: JVP2060 3.0 2066581 60101242435228
2061: JVP2061 1.0 167671 000000000000
2061: JVP2061 1.0 167671 60134402442036
2062: JVP2062 1.0 497400 60152392445394
2063: JVP2063 1.0 379974 60125602439089
2064: JVP2064 1.0 112270 60100862438158
2065: JVP2065 1.0 136147 60112732435115
2066: JVP2066 2.0 365354 60115372435562
2067: JVP2067 1.0 278866 60122952439565
2068: JVP2068 1.0 125314 60082662441124
2069: JVP2069 1.0 301267 60083832438305
2070: JVP2070 1.0 224511 60123252447234
2071: JVP2071 2.0 1642116 60123462439166
2072: JVP2072 1.0 88203 60082812439136
2073: JVP2073 1.0 127269 60100972439056
2074: JVP2074 1.0 20953 60103352449589
2076: JVP2076 1.0 480434 60143792442529
2077: JVP2077 1.0 1126691 60174942444249
2078: JVP2078 1.0 71522 60122772446190
2079: JVP2079 3.0 1261610 60174672445053
2080: JVP2080 1.0 525486 60113732442550
2081: JVP2081 1.0 38895 60090882437587
2082: JVP2082 1.0 45754 60091642446073
2083: JVP2083 1.0 579488 60100752439453
2084: JVP2084 1.0 8579 60110792448476
2085: JVP2085 1.0 482829 60103662440261
2086: JVP2086 1.0 437287 60121102444029
2087: JVP2087 1.0 9783 60090922441167
2088: JVP2088 1.0 66189 60081072439092
2090: JVP2090 3.0 57555 60111912435221
2091: JVP2091 1.0 99903 60084942442380
2092: JVP2092 2.0 258232 60181362446014
2093: JVP2093 1.0 92655 60123442440219
2094: JVP2094 2.0 190236 60183002445413
2095: JVP2095 1.0 34824 60100502445476
2096: JVP2096 1.0 684837 60132262440485
2097: JVP2097 2.0 192809 60190532443562
2098: JVP2098 1.0 321053 60192132444023
2099: JVP2099 1.0 386470 60123862449328
2100: JVP2100 1.0 17506 60121662439208
2101: JVP2101 1.0 60752 60083432442299
2102: JVP2102 1.0 78636 60092392447278
2103: JVP2103 1.0 63005 60105552434529
2104: JVP2104 1.0 124375 60131642439463
2106: JVP2106 1.0 53549 60104842434452
2107: JVP2107 1.0 98780 60105502434379
2108: JVP2108 3.0 120417 60091162441474
2110: JVP2110 2.0 143684 
2110: JVP2110 2.0 143684 60151932430217
2111: JVP2111 3.0 226982 60145812431494
2112: JVP2112 3.0 276571 60145182432280
2112: JVP2112 3.0 276571 None
2113: JVP2113 3.0 823435 000000000000
2114: JVP2114 1.0 6559 60143522446590
2115: JVP2115 2.0 598026 60094512436414
2116: JVP2116 1.0 138728 60103002441483
2117: JVP2117 1.0 274393 60100342442130
2118: JVP2118 1.0 77287 60104312442101
2119: JVP2119 1.0 57755 60114492444485
2120: JVP2120 1.0 83283 60074022440574
2121: JVP2121 1.0 828572 60122202439505
2122: JVP2122 1.0 12798 60122172441186
2123: JVP2123 1.0 32785 60111582448171
2124: JVP2124 1.0 28245 60182022444227
2126: JVP2126 1.0 36704 60084102444134
2127: JVP2127 1.0 104805 60104482444263
2128: JVP2128 1.0 123186 60115362435382
2129: JVP2129 2.0 208391 60135632446594
2130: JVP2130 1.0 422597 60155602444426
2131: JVP2131 1.0 125585 60144992443002
2132: JVP2132 1.0 21434 60100312450046
2133: JVP2133 1.0 245284 60152972430380
2134: JVP2134 1.0 412353 60081132440500
2136: JVP2136 1.0 40249 60104492445313
2138: JVP2138 1.0 47694 60122212440386
2139: JVP2139 1.0 201182 60171992442561
2140: JVP2140 1.0 93063 60152222443166
2141: JVP2141 1.0 67313 60111902443157
2142: JVP2142 1.0 106938 60110732443044
2143: JVP2143 1.0 108915 60121912440527
2144: JVP2144 1.0 662652 60163252443218
2145: JVP2145 1.0 42082 60150442444057
2146: JVP2146 1.0 172441 60095752435498
2147: JVP2147 1.0 213637 60111912444021
2148: JVP2148 1.0 40493 60132572441429
2149: JVP2149 1.0 64211 60163632445038
2150: JVP2150 3.0 24411 60130382448166
2151: JVP2151 1.0 13195 60093582436383
2152: JVP2152 1.0 22603 60124192437320
2153: JVP2153 1.0 73409 60104592437103
2154: JVP2154 2.0 1518237 60130372437115
2155: JVP2155 1.0 46644 60075122440131
2156: JVP2156 1.0 260124 60073732440113
2157: JVP2157 1.0 31498 60130742448184
2158: JVP2158 1.0 132628 60122842448358
2159: JVP2159 2.0 116488 60133242437142
2160: JVP2160 1.0 8311 60130772448265
2161: JVP2161 2.0 84827 60182922443390
2162: JVP2162 1.0 114752 60122412450197
2163: JVP2163 1.0 201701 60131722438477
2164: JVP2164 1.0 1188477 60131672436067
2165: JVP2165 1.0 311946 60111152434187
2166: JVP2166 1.0 64962 60120732443039
2167: JVP2167 1.0 12390 60142992446536
2168: JVP2168 1.0 83929 60073122440446
